id	Spalte	text	Keyword	property	Konzept
00.10	r_s	ton sensible, réflexions morales	ton sensible	tonality	sensibilité
00.100	r_s	ton satirique	ton satirique	tonality	satire
00.102	r_s	sensibilité	sensibilité	tonality	sensibilité
00.114	r_s	ton sentimental	ton sentimental	tonality	ton sentimental
00.117	r_s	ton léger mêlé de sensibilité	sensibilité	tonality	sensibilité
00.117	r_s	ton léger mêlé de sensibilité	ton léger mêlé de sensibilité	tonality	ton léger
00.118	r_s	couleur locale	couleur locale	tonality	couleur locale
00.121	r_s	ton satirique, tendances réalistes	tendances réalistes	tonality	tendances réalistes
00.121	r_s	ton satirique, tendances réalistes	ton satirique	tonality	satire
00.122	r_s	ton léger	ton léger	tonality	ton léger
00.126	r_s	ton sensible	ton sensible	tonality	sensibilité
00.127	r_s	ton léger	ton léger	tonality	ton léger
00.129	r_s	ton léger	ton léger	tonality	ton léger
00.130	r_s	éléments historiques, sensibilité, mélancolie	mélancolie	tonality	mélancolie
00.130	r_s	éléments historiques, sensibilité, mélancolie	sensibilité	tonality	sensibilité
00.131	r_s	sensibilité, éléments du roman noir	sensibilité	tonality	sensibilité
00.137	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	critique	tonality	critique
00.137	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	à la manière des Lettres persanes	tonality	manière imitée (parodie)
00.138	r_s	ton satirique	ton satirique	tonality	satire
00.140	r_s	sensibilité	sensibilité	tonality	sensibilité
00.141	r_s	sensibilité	sensibilité	tonality	sensibilité
00.143	r_s	couleur locale, éléments merveilleux	éléments merveilleux	tonality	conte de fée
00.143	r_s	couleur locale, éléments merveilleux	couleur locale	tonality	couleur locale
00.144	r_s	ton facétieux	ton facétieux	tonality	ton léger
00.145	r_s	genre troubadour	genre troubadour	tonality	style poétique
00.146	r_s	sensibilité et prétentions moralisatrices	sensibilité	tonality	sensibilité
00.149	r_s	mélancolie, mystères, sensibilité	mélancolie	tonality	mélancolie
00.149	r_s	mélancolie, mystères, sensibilité	sensibilité	tonality	sensibilité
00.150	r_s	tableau de mœurs, ton sensible et moralisateur	ton sensible	tonality	sensibilité
00.151	r_s	ton satirique	ton satirique	tonality	satire
00.152	r_s	ton léger	ton léger	tonality	ton léger
00.155	r_s	éléments merveilleux, prose poétique	éléments merveilleux	tonality	conte de fée
00.155	r_s	éléments merveilleux, prose poétique	prose poétique	tonality	style poétique
00.16	r_s	précisions pornographiques	précisions pornographiques	tonality	précisions pornographiques
00.18	r_s	peinture des mœurs, ton sentimental	ton sentimental	tonality	ton sentimental
00.19	r_s	ton satirique	ton satirique	tonality	satire
00.21	r_s	ton satirique	ton satirique	tonality	satire
00.26	r_s	bienfaisance, sensibilité	sensibilité	tonality	sensibilité
00.28	r_s	ton sentimental et moralisateur	ton sentimental	tonality	ton sentimental
00.35	r_s	ton léger	ton léger	tonality	ton léger
00.43	r_s	ton satirique	ton satirique	tonality	satire
00.44	r_s	sensibilité	sensibilité	tonality	sensibilité
00.48	r_s	ton sensible	ton sensible	tonality	sensibilité
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	éléments du roman noir (grotte, couvents)	tonality	manière imitée (parodie)
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	mélancolie	tonality	mélancolie
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	sensibilité	tonality	sensibilité
00.57	r_s	style familier, ton satirique	ton satirique	tonality	satire
00.60	r_s	sensibilité, mélancolie	mélancolie	tonality	mélancolie
00.60	r_s	sensibilité, mélancolie	sensibilité	tonality	sensibilité
00.62	r_s	sensibilité, vertu	sensibilité	tonality	sensibilité
00.63	r_s	ton sentimental, réflexions morales	ton sentimental	tonality	ton sentimental
00.64	r_s	précisions pornographiques, ton satirique	précisions pornographiques	tonality	précisions pornographiques
00.64	r_s	précisions pornographiques, ton satirique	ton satirique	tonality	satire
00.65	r_s	ton léger, tendances réalistes	tendances réalistes	tonality	tendances réalistes
00.65	r_s	ton léger, tendances réalistes	ton léger	tonality	ton léger
00.66	r_s	ton satirique, thèmes philosophiques, sensibilité	ton satirique	tonality	satire
00.66	r_s	ton satirique, thèmes philosophiques, sensibilité	sensibilité	tonality	sensibilité
00.7	r_s	sensibilité	sensibilité	tonality	sensibilité
00.70	r_s	sensibilité, roman noir	sensibilité	tonality	sensibilité
00.74	r_s	ton sensible	ton sensible	tonality	sensibilité
00.75	r_s	sensibilité, but moralisateur	sensibilité	tonality	sensibilité
00.82	r_s	sensibilité	sensibilité	tonality	sensibilité
00.90	r_s	vertu, sensibilité, aventures sombres	sensibilité	tonality	sensibilité
00.96	r_s	sensibilité	sensibilité	tonality	sensibilité
00.97	r_s	ton satirique	ton satirique	tonality	satire
51.1	r_s	sensibilité	sensibilité	tonality	sensibilité
51.10	r_s	prose poétique	prose poétique	tonality	style poétique
51.21	r_s	ton léger	ton léger	tonality	ton léger
51.25	r_s	sensibilité	sensibilité	tonality	sensibilité
51.3	r_s	sensibilité	sensibilité	tonality	sensibilité
51.31	r_s	observations sur les mœurs européennes, ton plaisant	ton plaisant	tonality	ton léger
51.32	r_s	dans le style de Prévost	dans le style de Prévost	tonality	manière imitée (parodie)
51.34	r_s	vogue du genre troubadour	vogue du genre troubadour	tonality	manière imitée (parodie)
51.34	r_s	vogue du genre troubadour	genre troubadour	tonality	style poétique
51.36	r_s	autobiographie romancée, avec traits satiriques	traits satiriques	tonality	satire
51.38	r_s	ton satirique	ton satirique	tonality	satire
51.39	r_s	satire de la religion chrétienne, du luxe, etc.	satire	tonality	satire
51.40	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
51.9	r_s	sensibilité	sensibilité	tonality	sensibilité
52.1	r_s	sensibilité	sensibilité	tonality	sensibilité
52.17	r_s	ton satirique	ton satirique	tonality	satire
52.18	r_s	ton satirique	ton satirique	tonality	satire
52.19	r_s	ton léger	ton léger	tonality	ton léger
52.21	r_s	satire des mœurs	satire	tonality	satire
52.26	r_s	sensibilité	sensibilité	tonality	sensibilité
52.28	r_s	ton satirique	ton satirique	tonality	satire
52.29	r_s	ton pseudo-historique et sensible	ton pseudo-historique et sensible	tonality	sensibilité
52.31	r_s	style grandiose	style grandiose	tonality	style élevé
52.32	r_s	conte allégorique; style poétique	allégorique	tonality	allégorie
52.32	r_s	conte allégorique; style poétique	style poétique	tonality	style poétique
52.4	r_s	conte de fée avec des traits satiriques	conte de fée	tonality	conte de fée
52.4	r_s	conte de fée avec des traits satiriques	traits satiriques	tonality	satire
52.40	r_s	ton réaliste	ton réaliste	tonality	tendances réalistes
52.41	r_s	sensibilité	sensibilité	tonality	sensibilité
52.42	r_s	sensibilité	sensibilité	tonality	sensibilité
52.7	r_s	sensibilité	sensibilité	tonality	sensibilité
53.1	r_s	sensibilité	sensibilité	tonality	sensibilité
53.12	r_s	style poétique	style poétique	tonality	style poétique
53.13	r_s	intentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
53.14	r_s	réflexions morales, sensibilité	sensibilité	tonality	sensibilité
53.17	r_s	ton réaliste et humoristique	ton réaliste	tonality	tendances réalistes
53.23	r_s	conte oriental merveilleux	conte oriental merveilleux	tonality	contes
53.27	r_s	sensibilité	sensibilité	tonality	sensibilité
53.28	r_s	sensibilité	sensibilité	tonality	sensibilité
53.31	r_s	sensibilité, intentions moralisatrices	sensibilité	tonality	sensibilité
53.33	r_s	allégorie humoristique, en forme de rêve, sur des questions d’eugénique	allégorie	tonality	allégorie
53.4	r_s	conversations sur l’amour; conte merveilleux	conversations sur l’amour	tonality	non-fiction
53.5	r_s	ton satirique	ton satirique	tonality	satire
53.7	r_s	conte de fées	conte de fée	tonality	conte de fée
53.8	r_s	ton satirique	ton satirique	tonality	satire
54.10	r_s	ton satirique	ton satirique	tonality	satire
54.2	r_s	détails pornographiques	détails pornographiques	tonality	précisions pornographiques
54.20	r_s	ton léger	ton léger	tonality	ton léger
54.26	r_s	critique des mœurs	critique	tonality	critique
54.6	r_s	ton satirique	ton satirique	tonality	satire
55.10	r_s	ton scabreux	ton scabreux	tonality	satire
55.11	r_s	critique des mœurs, ton satirique	critique	tonality	critique
55.11	r_s	critique des mœurs, ton satirique	ton satirique	tonality	satire
