bgrf_id	mimotext_id	column	text	keyword	property	concept	concept_id
52.32	Q1259	r_s	conte allégorique; style poétique	allégorique	P39	allégorie	Q3895 
53.33	Q1285	r_s	allégorie humoristique, en forme de rêve, sur des questions d’eugénique	allégorie	P39	allégorie	Q3895 
59.17	Q1391	r_s	Les voiages de la Raison, fable allégorique	allégorique	P39	allégorie	Q3895 
66.8	Q1586	r_s	allégorie de la vie politique (selon l’auteur)	allégorie	P39	allégorie	Q3895 
70.16	Q1721	r_s	allégorie morale	allégorie	P39	allégorie	Q3895 
89.18	Q2331	r_s	conte allégorique, critique de la noblesse	allégorique	P39	allégorie	Q3895 
89.90	Q2368	r_s	allégories, ton sentimental	allégorie	P39	allégorie	Q3895 
89.98	Q2373	r_s	allégorie	allégorie	P39	allégorie	Q3895 
63.25	Q1472	r_s	analyse psychologique	analyse psychologique	P39	analyse des passions	Q3896 
64.23	Q1499	r_s	analyse psychologique	analyse psychologique	P39	analyse des passions	Q3896 
66.10	Q1557	r_s	analyse des sentiments	analyse des sentiments	P39	analyse des passions	Q3896 
66.16	Q1561	r_s	sensibilité passionnée	passion	P39	analyse des passions	Q3896 
67.31	Q1608	r_s	sensibilité passionnée et mélancolique	passion	P39	analyse des passions	Q3896 
68.25	Q1639	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	passion	P39	analyse des passions	Q3896 
68.48	Q1661	r_s	intentions moralisatrices, analyse des sentiments	analyse des sentiments	P39	analyse des passions	Q3896 
69.29	Q1689	r_s	sensibilité passionnée	passion	P39	analyse des passions	Q3896 
69.65	Q1713	r_s	sensibilité effrénée, analyse des sentiments	analyse des sentiments	P39	analyse des passions	Q3896 
70.26	Q1730	r_s	analyse des sentiments, vertu	analyse des sentiments	P39	analyse des passions	Q3896 
70.74	Q1760	r_s	sensibilité passionnée, poème en prose	passion	P39	analyse des passions	Q3896 
72.27	Q1805	r_s	sensibilité passionnée, couleur locale	passion	P39	analyse des passions	Q3896 
72.32	Q1810	r_s	sensibilité, analyse des sentiments	analyse des sentiments	P39	analyse des passions	Q3896 
73.11	Q1821	r_s	passion, sensibilité	passion	P39	analyse des passions	Q3896 
76.17	Q1901	r_s	sensibilité passionnée	passion	P39	analyse des passions	Q3896 
80.24	Q2023	r_s	sensibilité, analyse des passions	analyse des passions	P39	analyse des passions	Q3896 
81.13	Q2040	r_s	sensibilité passionnée, nature	passion	P39	analyse des passions	Q3896 
84.18	Q2125	r_s	analyse des sentiments	analyse des sentiments	P39	analyse des passions	Q3896 
88.32	Q2285	r_s	sensibilité passionnée	passion	P39	analyse des passions	Q3896 
88.5	Q2293	r_s	analyse des sentiments	analyse des sentiments	P39	analyse des passions	Q3896 
88.55	Q2298	r_s	sensibilité passionnée, réflexions mélancoliques	réflexions mélancoliques	P39	analyse des passions	Q3896 
90.28	Q2390	r_s	sensibilité passionnée, style élevé	passion	P39	analyse des passions	Q3896 
94.14	Q2497	r_s	passions violentes et néfastes	passions violentes et néfastes	P39	analyse des passions	Q3896 
95.14	Q2509	r_s	prose poétique, peintures voluptueuses, sensibilité passionnée	passion	P39	analyse des passions	Q3896 
57.12	Q1016	r_s	analyse psychologique.	analyse psychologique	P39	analyse des passions	Q3896 
58.17	Q1018	r_s	analyse des sentiments, mélancolie.	analyse des sentiments	P39	analyse des passions	Q3896 
66.11	Q1031	r_s	sensibilité, analyse des sentiments.	analyse des sentiments	P39	analyse des passions	Q3896 
67.44	Q1034	r_s	analyse psychologique.	analyse psychologique	P39	analyse des passions	Q3896 
74.20	Q1044	r_s	malheurs, sensibilité passionnée.	passion	P39	analyse des passions	Q3896 
82.17	Q1053	r_s	analyse psychologique.	analyse psychologique	P39	analyse des passions	Q3896 
85.24	Q1066	r_s	critique sociale, analyse psychologique.	analyse psychologique	P39	analyse des passions	Q3896 
87.54bis	Q1071	r_s	sensibilité passionnée, retour à la nature.	passion	P39	analyse des passions	Q3896 
94.13	Q1082	r_s	analyse des sentiments.	analyse des sentiments	P39	analyse des passions	Q3896 
99.62	Q1099	r_s	analyse des sentiments, sensibilité, vertu.	analyse des sentiments	P39	analyse des passions	Q3896 
56.12	Q1350	r_s	ton comique	ton comique	P39	comique	Q3916 
60.6	Q1423	r_s	ton comique	ton comique	P39	comique	Q3916 
63.30	Q1475	r_s	critique des mœurs, ton comique	ton comique	P39	comique	Q3916 
67.19	Q1598	r_s	variété des tons, intentions comiques	comique	P39	comique	Q3916 
67.5	Q1620	r_s	tendances réalistes, ton comique	ton comique	P39	comique	Q3916 
78.33	Q1976	r_s	ton comique	ton comique	P39	comique	Q3916 
90.44	Q2399	r_s	dans le genre du Roman comique de Scarron, intentions satiriques	comique	P39	comique	Q3916 
92.39	Q2476	r_s	style héroï-comique	comique	P39	comique	Q3916 
93.15	Q2485	r_s	ton héroï-comique	comique	P39	comique	Q3916 
00.106	Q1108	r_s	ouvrage à clef (la fin du t. II présente une histoire de la Révolution sous des noms indiens)	Révolution	P39	considérations politiques	Q3917 
57.1	Q1367	r_s	la morale, la politique, etc.	la morale, la politique, etc.	P39	considérations politiques	Q3917 
66.33	Q1575	r_s	considérations politiques	considérations politiques	P39	considérations politiques	Q3917 
68.16	Q1631	r_s	dialogues sur la religion	dialogues sur la religion	P39	considérations politiques	Q3917 
70.24	Q1728	r_s	thèmes politiques et religieux (allusions à l’affaire Calas)	thèmes politiques	P39	considérations politiques	Q3917 
71.21	Q1771	r_s	sensibilité, thème de l’esclavage	thème de l’esclavage	P39	considérations politiques	Q3917 
72.29	Q1807	r_s	discussions politiques, intentions didactiques	discussions politiques	P39	considérations politiques	Q3917 
