id	Spalte	text	Keyword	property	Themenwert
00.10	ti	Camille et Agathe ou l’amour vainqueur de la mort	amour	isabout	amour
103	ti	Valrose ou les orages de l’amour, par J.M. Laoisel Tréogate (sic), auteur de Dolbreuse, de Lucile et Milcourt, etc. etc.	amour	isabout	amour
103	ti	Valrose ou les orages de l’amour, par J.M. Laoisel Tréogate (sic), auteur de Dolbreuse, de Lucile et Milcourt, etc. etc.	cour	isabout	cour
105	ti	Entretiens philosophiques et politiques suivis de Betzi ou l’amour comme il est, roman qui n’en est pas un	politique	isabout	politique
105	ti	Entretiens philosophiques et politiques suivis de Betzi ou l’amour comme il est, roman qui n’en est pas un	philosophiques	isabout	philosophie
105	ti	Entretiens philosophiques et politiques suivis de Betzi ou l’amour comme il est, roman qui n’en est pas un	amour	isabout	amour
106	ti	Irma ou les malheurs d’une jeune orpheline, histoire indienne, avec des romances, publiée par la Ce Gd	malheurs	isabout	malheur
112	ti	L’antipode de Marmontel ou nouvelles fictions, ruses d’amour et espiègleries de l’Aristénète français, opuscule précédé de la correspondance de l’auteur avec Pamy, Palissot et autres littérateurs	amour	isabout	amour
112	ti	L’antipode de Marmontel ou nouvelles fictions, ruses d’amour et espiègleries de l’Aristénète français, opuscule précédé de la correspondance de l’auteur avec Pamy, Palissot et autres littérateurs	correspondance	isabout	correspondance littéraire
113	ti	Paris ou le rideau levé, anecdotes singulières, bizarres et sentimentales, pour servir à l’histoire de nos mœurs anciennes et nouvelles, avec des faits qui n’avaient point encore été publiés, le tout recueilli et mis au jour par P.-J.-B. Nougaret	sentimentale	isabout	sentiment
113	ti	Paris ou le rideau levé, anecdotes singulières, bizarres et sentimentales, pour servir à l’histoire de nos mœurs anciennes et nouvelles, avec des faits qui n’avaient point encore été publiés, le tout recueilli et mis au jour par P.-J.-B. Nougaret	mœurs	isabout	mœurs 
114	ti	Vie, amours et aventures de plusieurs illustres solitaires des Alpes ou les malheurs des grandes passions, par F. Pagès	malheurs	isabout	malheur
114	ti	Vie, amours et aventures de plusieurs illustres solitaires des Alpes ou les malheurs des grandes passions, par F. Pagès	amour	isabout	amour
114	ti	Vie, amours et aventures de plusieurs illustres solitaires des Alpes ou les malheurs des grandes passions, par F. Pagès	passion	isabout	passion
115	ti	Mémoires anecdotiques pour servir à l’histoire de la Révolution française, publiés par le traducteur d’Obéron	Révolution	isabout	révolution
126	ti	Les secrets de famille, traduit de l’anglais de M. Pratt sur la troisième édition par Mary-Gay Allart, traductrice d’Eléonore de Rosalba, orné de figures	famille	isabout	famille
132	ti	Claude et Claudine ou l’amour au village, roman pastoral, imité d’Estelle de Florian	amour	isabout	amour
132	ti	Claude et Claudine ou l’amour au village, roman pastoral, imité d’Estelle de Florian	village	isabout	village
133	ti	Le délire du sentiment ou rêveries d’un homme sensible, satire	sensible	isabout	sentimentalisme
135	ti	Les crimes de l’amour, nouvelles héroïques et tragiques, précédés d’une idée sur les romans et ornés de gravures, par D.A. F. Sade, auteur d’Aline et Valcour	amour	isabout	amour
135	ti	Les crimes de l’amour, nouvelles héroïques et tragiques, précédés d’une idée sur les romans et ornés de gravures, par D.A. F. Sade, auteur d’Aline et Valcour	cour	isabout	cour
137	ti	L’observateur sentimental ou correspondance anecdotique, politique, pittoresque et satyrique entre Mohamed Saady et quelques-uns de ses amis, ayant sur-tout pour objet les événements et les mœurs de nos jours, recueillie et publiée par S.......u, ex-professeur d’une ci-devant Ecole Royale Militaire, et des Ecoles centrales	sentimental	isabout	sentiment
137	ti	L’observateur sentimental ou correspondance anecdotique, politique, pittoresque et satyrique entre Mohamed Saady et quelques-uns de ses amis, ayant sur-tout pour objet les événements et les mœurs de nos jours, recueillie et publiée par S.......u, ex-professeur d’une ci-devant Ecole Royale Militaire, et des Ecoles centrales	politique	isabout	politique
137	ti	L’observateur sentimental ou correspondance anecdotique, politique, pittoresque et satyrique entre Mohamed Saady et quelques-uns de ses amis, ayant sur-tout pour objet les événements et les mœurs de nos jours, recueillie et publiée par S.......u, ex-professeur d’une ci-devant Ecole Royale Militaire, et des Ecoles centrales	mœurs	isabout	mœurs 
