Konzept	Varianten	Themenwert			
galant	galante; galants; galantes	galanterie			
sentimentale	sentimental; sentimentals; sentimentales	sentiment			
merveille	merveilleux; merveilleuse; merveilleuses	miracle			
guerrière	guerrières; guerre; guerres; Guerre; Guerres; guerrier	guerre			
chevaleresques	chevalerie; chevaleresque	chevalerie			
libertines	libertin; libertine; scabreux; scabreuse; scabreuses	libertinage			
lubriques	lubrique; voluptueux; voluptueuse; voluptueuses	érotisme			
révolutionnaires	Révolution; revolutionnaire; 	révolution			
mystérieux	mystérieuse; mystérieuses	mystère			
sensibilité	sensible; sensibles	sentimentalisme			
vie de tous les jours	n	vie quotidienne			
famille	n	famille			
thèmes politiques	politique; politiques	politique			
éducation	éducations	éducation			
malheurs	malheur; malheureux; malheureuse; malheureuses	malheur			
voyages	voyage; tour du monde; voyageur; voyageuse	voyage			
thèmes pédagogiques	pédagogique; pédagogiques	pédagogie			
thèmes philosophiques	philosophiques; philosophique; philosophie	philosophie			
amour	amours; amoureux; amoureuse; amoureuses	amour			
passion	grandes passions; les effets des passions; peinture voluptueuse de la passion; amours passionnées	passion			
mélancolie	mélancolique; mélancoliques	mélancolie			
morale	morales; moraliste; moralistes	morale			
éléments historiques	sujet historique; fond historique; détails historiques; événements historiques; évènements historiques	histoire 			
vertu	vertus; vertueux; vertueuse; vertueuses	vertu			
mœurs	n	mœurs 			
nature	n	nature			
pornographiques	pornographique	érotisme			
correspondance	corresponandance	correspondance littéraire			
crime 	criminel; criminelle; criminelles; criminaux; assassinat; assassin; assassins	crime			
village	villegeois; villageoise; villages	village			
biblique	bible	bible			
militaire	militaires	militaire			
cour	cours	cour			
naufrage	naufragés; naufragé	naufrage			
esclave	esclavage	esclavage			14
