bgrf_id	mimotext_id	column	text	keyword	property	concept	concept_id
52.32	Q1259	r_s	conte allégorique; style poétique	allégorique	P38	allégorie	Q3895 
53.33	Q1285	r_s	allégorie humoristique, en forme de rêve, sur des questions d’eugénique	allégorie	P38	allégorie	Q3895 
59.17	Q1391	r_s	Les voiages de la Raison, fable allégorique	allégorique	P38	allégorie	Q3895 
66.8	Q1586	r_s	allégorie de la vie politique (selon l’auteur)	allégorie	P38	allégorie	Q3895 
70.16	Q1721	r_s	allégorie morale	allégorie	P38	allégorie	Q3895 
89.18	Q2331	r_s	conte allégorique, critique de la noblesse	allégorique	P38	allégorie	Q3895 
89.90	Q2368	r_s	allégories, ton sentimental	allégorie	P38	allégorie	Q3895 
89.98	Q2373	r_s	allégorie	allégorie	P38	allégorie	Q3895 
75.13	Q1871	r_s	sensibilité, retour à la nature	retour à la nature	P38	attachement à la nature	Q3898 
80.16	Q2014	r_s	retour à la nature, thèmes anticléricaux (religion naturelle)	retour à la nature	P38	attachement à la nature	Q3898 
83.22	Q2091	r_s	sensibilité, malheurs; vie à la campagne	vie à la campagne	P38	attachement à la nature	Q3898 
86.27	Q1067	r_s	sensibilité, vie à la campagne	vie à la campagne	P38	attachement à la nature	Q3898 
90.41	Q2397	r_s	mélancolie, thèmes préromantiques, éloge de la vie simple	éloge de la vie simple	P38	attachement à la nature	Q3898 
86.27	Q1067	r_s	sensibilité, vie à la campagne.	vie à la campagne	P38	attachement à la nature	Q3898 
87.54bis	Q1071	r_s	sensibilité passionnée, retour à la nature.	retour à la nature	P38	attachement à la nature	Q3898 
52.4	Q1263	r_s	conte de fée avec des traits satiriques	conte de fée	P38	conte de fée	Q3899 
53.7	Q1289	r_s	conte de fées	conte de fée	P38	conte de fée	Q3899 
55.18	Q1321	r_s	conte de fées	conte de fée	P38	conte de fée	Q3899 
55.23	Q1325	r_s	conte de fées	conte de fée	P38	conte de fée	Q3899 
55.35	Q1336	r_s	mythologie et féerie	mythologie et féerie	P38	conte de fée	Q3899 
67.22	Q1601	r_s	éléments surnaturels (magie Blanche)	éléments surnaturels (magie Blanche)	P38	conte de fée	Q3899 
82.26	Q2065	r_s	éléments merveilleux, style élevé	éléments merveilleux	P38	conte de fée	Q3899 
99.160	Q2691	r_s	éléments merveilleux, thèmes philosophiques, ton facétieux	éléments merveilleux	P38	conte de fée	Q3899 
53.23	Q1279	r_s	conte oriental merveilleux	conte oriental merveilleux	P38	contes	Q3900 
85.3	Q2175	r_s	récit coupé en ’mois’	récit coupé en ’mois’	P38	contes	Q3900 
85.42	Q2185	r_s	conte philosophique	conte philosophique	P38	contes	Q3900 
92.8	Q2480	r_s	récit d’après un tableau de Raphaël	récit d’après un tableau de Raphaël	P38	contes	Q3900 
97.17	Q2565	r_s	conte philosophique	conte philosophique	P38	contes	Q3900 
91.43	Q1079	r_s	conte philosophique.	conte philosophique	P38	contes	Q3900 
00.118	Q1120	r_s	couleur locale	couleur locale	P38	couleur locale	Q3901 
69.23	Q1683	r_s	ton noble, couleur locale	couleur locale	P38	couleur locale	Q3901 
71.11	Q1764	r_s	couleur locale africaine	couleur locale	P38	couleur locale	Q3901 
72.27	Q1805	r_s	sensibilité passionnée, couleur locale	couleur locale	P38	couleur locale	Q3901 
88.106	Q2274	r_s	cadre pastoral, forte couleur locale	forte couleur locale	P38	couleur locale	Q3901 
90.25	Q2388	r_s	couleur locale (mots tahitiens dans le texte)	couleur locale	P38	couleur locale	Q3901 
91.18	Q2426	r_s	sensibilité, couleur locale	couleur locale	P38	couleur locale	Q3901 
77.50	Q1048	r_s	roman philosophique (contre le fanatisme), couleur locale, épopée en prose.	couleur locale	P38	couleur locale	Q3901 
00.137	Q1139	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	critique	P38	critique	Q3902 
55.11	Q1316	r_s	critique des mœurs, ton satirique	critique	P38	critique	Q3902 
55.19	Q1322	r_s	thèses féministes	thèses féministes	P38	critique	Q3902 
56.2	Q1354	r_s	critique des couvents	critique	P38	critique	Q3902 
56.3	Q1359	r_s	ton anti-religieux	ton anti-religieux	P38	critique	Q3902 
62.37	Q1454	r_s	critique des mœurs	critique	P38	critique	Q3902 
62.7	Q1459	r_s	critique des mœurs à la manière du Diable boiteux	critique	P38	critique	Q3902 
63.30	Q1475	r_s	critique des mœurs, ton comique	critique	P38	critique	Q3902 
65.11	Q1518	r_s	critique des mœurs, ton satirique	critique	P38	critique	Q3902 
67.29	Q1605	r_s	critique de l’église et des dogmes catholiques	critique	P38	critique	Q3902 
68.56	Q1668	r_s	critique des mœurs, thèmes philosophiques	critique	P38	critique	Q3902 
69.69	Q1715	r_s	critique de l’Eglise, thèmes philosophiques	critique	P38	critique	Q3902 
71.15	Q1768	r_s	thèmes anticléricaux	thèmes anticléricaux	P38	critique	Q3902 
73.15	Q1823	r_s	critique des mœurs et observations morales	critique	P38	critique	Q3902 
78.29	Q1972	r_s	critique des mœurs	critique	P38	critique	Q3902 
80.16	Q2014	r_s	retour à la nature, thèmes anticléricaux (religion naturelle)	thèmes anticléricaux	P38	critique	Q3902 
